id;placed_date;status;total_price;payment_method;customer_details_id
1;2021-01-13T08:04:43;CANCELLED;24351;CREDIT_CARD;1
2;2021-01-12T23:08:29;COMPLETED;25857;CREDIT_CARD;2
3;2021-01-13T14:30:41;PENDING;21769;IDEAL;3
4;2021-01-13T07:17:34;PENDING;74567;IDEAL;4
5;2021-01-13T02:58:43;PAID;5450;CREDIT_CARD;5
6;2021-01-13T19:19:58;CANCELLED;11029;CREDIT_CARD;6
7;2021-01-12T21:13:06;PAID;11270;CREDIT_CARD;7
8;2021-01-13T02:34:37;PENDING;25583;CREDIT_CARD;8
9;2021-01-13T16:19:54;CANCELLED;65407;CREDIT_CARD;9
10;2021-01-13T15:48:11;PENDING;39415;CREDIT_CARD;10
